#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
1	ул. Герцена, д. 104, к. А, Майкоп	1968	Нет	Не присвоен	1	2	367.20	0.00	873.00	типовой	Многоквартирный дом	1	Центральное	Центральное	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
2	ул. Депутатская, д. 6, Майкоп	1969	Есть	Нет	120	Не присвоен	8	5	5	6 131.00	0.00	484.00	7 979.00	0.00	515	Не имеется	На счете регионального оператора	Многоквартирный дом	2	0.00	Вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Панельные	1 284.00	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
3	ул. Димитрова, д. 9, Майкоп	1969	Не имеется	Нет	70	Не присвоен	4	5	5	2 641.00	0.00	273.40	3 281.00	0.00	511	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	616.00	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный
1105	ул. Чкалова, д. 7, Энем	1987	Есть	Нет	128	Не присвоен	12	5	5	1	6 863.00	1 752.80	863.60	10 234.00	0.00	кирпичный	Не имеется	Многоквартирный дом	оборудование отсутствует	Каменные, кирпичные	2 679.00	Плоская	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный	3	0.00	Приточно-вытяжная вентиляция	Центральное	Внутренние водостоки	Центральное	Центральное (открытая система)	Отсутствует	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
1106	ул. Чкалова, д. 11, Энем	1968	Нет	Не присвоен	2	2	684.00	0.00	1 716.00	Многоквартирный дом	2	Центральное	Центральное	Квартирное (квартирный котел)	Центральное	Центральное	Центральное	Каменные, кирпичные	418.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Оборудование	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение
1107	ул. Чкалова, д. 20, Энем	1972	Есть	Нет	30	Не присвоен	2	5	5	1 389.70	0.00	138.30	1 105.00	0.00	кирпичный	Не имеется	На счете регионального оператора	Многоквартирный дом	оборудование отсутствует	Каменные, кирпичные	378.00	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный	1	0.00	Приточно-вытяжная вентиляция	Центральное	Отсутствует	Центральное	Центральное (открытая система)	Отсутствует	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Оборудование	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение
1108	ул. Энгельса, д. 38, Энем	1989	Не имеется	Нет	18	Не присвоен	3	2	2	867.20	0.00	75.30	1 689.00	0.00	135 серия	Не имеется	На счете регионального оператора	Многоквартирный дом	оборудование отсутствует	Панельные	557.00	Плоская	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный	1	0.00	Приточно-вытяжная вентиляция	Центральное	Внутренние водостоки	Центральное	Центральное (открытая система)	Отсутствует	Центральное	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Оборудование	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение
1109	пер. Ильницкого, д. 9, Энем	2008	Есть	Нет	50	Не присвоен	2	5	5	2 543.00	0.00	292.50	2 427.00	0.00	кирпичный	Не имеется	На счете регионального оператора	Многоквартирный дом	оборудование отсутствует	Каменные, кирпичные	700.00	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный	1	0.00	Приточно-вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Квартирное (квартирный котел)	Отсутствует	Квартирное отопление (квартирный котел)	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
1110	ул. Красная, д. 11А, к. 3, Энем	2010	Нет	Не присвоен	1	5	942.00	0.00	1 219.00	Многоквартирный дом	1	Центральное	Центральное	Квартирное (квартирный котел)	Квартирное отопление (квартирный котел)	Центральное	Центральное	Каменные, кирпичные	241.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Оборудование	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение
1111	ул. Калинина, д. 81/1, Энем	2008	Не имеется	Нет	20	Не присвоен	1	5	5	848.00	0.00	109.00	784.00	0.00	кирпичный	Не имеется	На счете регионального оператора	Многоквартирный дом	оборудование отсутствует	Каменные, кирпичные	250.00	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный	1	0.00	Приточно-вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Квартирное (квартирный котел)	Отсутствует	Квартирное отопление (квартирный котел)	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
1112	ул. Пролетарская, д. 60, Гиагинская	1993	Нет	Не присвоен	2	3	546.60	401.50	6 325.00	индивидуальный	Многоквартирный дом	1	Центральное	Центральное	Центральное (закрытая система)	Центральное	Центральное	Центральное	Каменные, кирпичные	130.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
1113	ул. Калинина, д. 81/3, Энем	2008	Нет	Не присвоен	1	4	678.00	0.00	1 167.00	Многоквартирный дом	1	Центральное	Центральное	Квартирное (квартирный котел)	Квартирное отопление (квартирный котел)	Центральное	Центральное	Каменные, кирпичные	250.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Водоотведение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
1114	ул. Ленина, д. 156, Гиагинская	1963	Нет	Не присвоен	4	2	243.10	146.10	3 518.00	индивидуальный	Многоквартирный дом	Центральное	Центральное	Центральное	Центральное	Каменные, кирпичные	87.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
1115	ул. Чкалова, д. 24/2, Энем	2007	Нет	Не присвоен	1	4	675.00	0.00	895.00	Многоквартирный дом	1	Центральное	Центральное	Квартирное (квартирный котел)	Квартирное отопление (квартирный котел)	Центральное	Центральное	Каменные, кирпичные	235.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Тип дома	Оборудование	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение
1116	ул. Чкалова, д. 24/3, Энем	2008	Есть	Нет	45	Не присвоен	2	6	6	2 546.70	0.00	255.50	1 871.00	0.00	кирпичный	Не имеется	Многоквартирный дом	оборудование отсутствует	Каменные, кирпичные	603.00	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный	1	0.00	Приточно-вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Квартирное (квартирный котел)	Отсутствует	Квартирное отопление (квартирный котел)	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Оборудование	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение
1117	ул. Чкалова, д. 24/4, Энем	2009	Есть	Нет	45	Не присвоен	2	6	6	1	2 621.00	66.70	257.80	1 823.00	0.00	кирпичный	Не имеется	На счете регионального оператора	Многоквартирный дом	оборудование отсутствует	Каменные, кирпичные	612.00	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный	1	0.00	Приточно-вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Квартирное (квартирный котел)	Отсутствует	Квартирное отопление (квартирный котел)	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Оборудование	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение
1118	ул. Чкалова, д. 24/5, Энем	2010	Не имеется	Нет	17	Не присвоен	1	5	5	1	1 253.40	117.20	106.20	1 139.00	0.00	кирпичный	Не имеется	На счете регионального оператора	Многоквартирный дом	оборудование отсутствует	Каменные, кирпичные	307.00	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный	1	0.00	Приточно-вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Квартирное (квартирный котел)	Отсутствует	Квартирное отопление (квартирный котел)	Центральное	Центральное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
1119	ул. Ленина, д. 144, Гиагинская	1970	Нет	Не присвоен	2	2	347.68	158.12	2 254.00	индивидуальный	Многоквартирный дом	1	Центральное	Центральное	Квартирное (квартирный котел)	Квартирное отопление (квартирный котел)	Центральное	Центральное	Каменные, кирпичные	220.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
1120	ул. М.Горького, д. 11, Гиагинская	1970	Нет	Не присвоен	3	2	527.40	349.07	3 734.00	индивидуальный	Многоквартирный дом	1	Центральное	Центральное	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
1121	ул. Международная, д. 33, Гиагинская	1964	Нет	Не присвоен	3	2	580.60	286.20	4 104.00	индивидуальный	Многоквартирный дом	1	Центральное	Центральное	Центральное (закрытая система)	Центральное	Центральное	Центральное	Каменные, кирпичные	126.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
1122	ул. Ленина, д. 146, Гиагинская	1988	Нет	Не присвоен	3	2	724.28	229.29	4 573.00	индивидуальный	Многоквартирный дом	1	Центральное	Центральное	Центральное (закрытая система)	Центральное	Центральное	Центральное	Каменные, кирпичные	126.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
1123	ул. Центральная, д. 36, Гиагинская	1987	Нет	Не присвоен	3	3	499.04	382.02	3 438.00	индивидуальный	Многоквартирный дом	1	Центральное	Центральное	Центральное	Центральное	Центральное	Каменные, кирпичные	130.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
1124	ул. Международная, д. 37, Гиагинская	1972	Нет	Не присвоен	3	2	494.90	200.90	4 709.00	индивидуальный	Многоквартирный дом	1	Центральное	Центральное	Центральное	Центральное	Центральное	Каменные, кирпичные	126.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
1125	ул. Ленина, д. 154, к. А, Гиагинская	1988	Нет	Не присвоен	3	2	590.70	275.60	4 100.00	индивидуальный	Многоквартирный дом	1	Центральное	Центральное	Центральное (закрытая система)	Центральное	Центральное	Центральное	Каменные, кирпичные	126.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество лифтов	Количество подъездов	Лифты	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Перекрытия	Фасад	Фундамент
1126	ул. Юннатов, д. 2, к. Б, Майкоп	1990	Есть	Нет	216	B+	6	6	пассажирские - 6, 	9	1	1	11 777.40	22.05	666.00	6 778.00	0.00	панельный	Не имеется	На счете регионального оператора	Многоквартирный дом	1	6.00	Вытяжная вентиляция	Центральное	Внутренние водостоки	Центральное	Центральное (открытая система)	Отсутствует	Центральное	Центральное	Центральное	Панельные	2 438.80	Плоская	Железобетонные	Соответствует материалу стен	Сборный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество лифтов	Количество подъездов	Лифты	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
1127	ул. 12 Марта, д. 152, Майкоп	1991	Не имеется	Нет	45	B+	1	1	пассажирские - 1, 	9	1	2 589.00	284.00	284.00	2 127.00	0.00	кирпичный	Не имеется	На счете регионального оператора	Многоквартирный дом	1	Вытяжная вентиляция	Центральное	Внутренние водостоки	Центральное	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Панельные	440.00	Плоская	Отсутствует	Железобетонные	Соответствует материалу стен	Иной
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
1128	ул. Победы, д. 1, Цветочный	1984	Нет	Не присвоен	1	2	378.00	155.00	1 664.00	типовой, 114-24-26/1,2	Многоквартирный дом	1	Центральное	Центральное	Отсутствует	Квартирное отопление (квартирный котел)	Центральное	Центральное	Каменные, кирпичные	50.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
1129	ул. Победы, д. 3, Цветочный	1984	Нет	Не присвоен	1	2	457.00	167.00	1 396.00	типовой, 114-24-26/1,2	Многоквартирный дом	1	Центральное	Центральное	Отсутствует	Квартирное отопление (квартирный котел)	Центральное	Центральное	Каменные, кирпичные	80.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
1130	ул. Победы, д. 4, Цветочный	1984	Нет	Не присвоен	1	2	223.00	125.00	1 577.00	типовой, 114-24-26/1,2	Многоквартирный дом	1	Центральное	Центральное	Отсутствует	Квартирное отопление (квартирный котел)	Центральное	Центральное	Каменные, кирпичные	0.00	Железобетонные
#	Адрес	Дом признан аварийным	Газоснабжение
1131	ул. Танюкова, д. 11, Тульский	Нет	Автономное
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
1132	ул. Победы, д. 5, Цветочный	1984	Нет	Не присвоен	1	2	222.00	155.00	1 712.00	типовой, 114-24-26/1,2	Многоквартирный дом	1	Центральное	Центральное	Отсутствует	Квартирное отопление (квартирный котел)	Центральное	Центральное	Каменные, кирпичные	0.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
1133	ул. Буденного, д. 1, Цветочный	1965	Нет	Не присвоен	1	2	213.00	28.00	2 808.00	типовой, 114-24-26/1,2	Многоквартирный дом	1	Центральное	Центральное	Отсутствует	Квартирное отопление (квартирный котел)	Центральное	Центральное	Каменные, кирпичные	0.00	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Тип дома	Количество вводов в дом, ед.	Водоотведение	Газоснабжение	Горячее водоснабжение	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Перекрытия
1134	ул. Кольцова, д. 110, Майкоп	1996	Нет	Не присвоен	6	5	3 990.80	0.00	4 258.00	Минский проект	Многоквартирный дом	1	Центральное	Центральное	Центральное (открытая система)	Центральное	Центральное	Центральное	Каменные, кирпичные	1 209.00	Железобетонные
