#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2
1	ул. К.Хетагурова, д. 89, Алагир	1959	Нет	561.60
#	Адрес	Дом признан аварийным
3760	ул. Керменистов, д. 4, Владикавказ	Нет
#	Адрес	Дом признан аварийным
3761	д. 8, Нузал	Нет
#	Адрес	Дом признан аварийным
3762	снт. Редант, д. 5, Владикавказ	Нет
#	Адрес	Дом признан аварийным
3763	снт. Редант, д. 6, Владикавказ	Нет
#	Адрес	Дом признан аварийным
3764	ул. Хосроева, д. 36, Ардон	Нет
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
3765	мкр. Моздок-1, д. 20, Моздок	1959	Не имеется	Нет	дополнительной информации нет	32	Не присвоен	2	4	4	1 476.60	0.00	98.40	3 299.90	0.00	отсутствует	Не имеется	Не определен	Многоквартирный дом	1	0.00	Отсутствует	Центральное	Отсутствует	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Железобетонные	Оштукатуренный	Иной
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
3766	ул. Степная, д. 22, Моздок	1976	Есть	Нет	дополнительной информации нет	12	Не присвоен	2	2	2	684.20	0.00	48.30	3 372.00	0.00	отсутствует	Не имеется	Многоквартирный дом	1	0.00	Вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Отсутствует	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Бетонные столбы
#	Адрес	Дом признан аварийным
3767	р-н. Алагирский, п. Мизур, д. 3, к. 3	Нет
#	Адрес	Дом признан аварийным
3768	р-н. Алагирский, п. Мизур, д. 2, к. 2	Нет
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2
3769	д. 13, Верхний Фиагдон	1967	Нет	2 546.00
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Несущие стены	Перекрытия
3770	д. 12, Верхний Фиагдон	1967	Нет	4	5	3 043.70	Многоквартирный дом	Каменные, кирпичные	Смешанные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
3771	д. 10, Верхний Фиагдон	1967	Не имеется	Да	60	Не присвоен	4	5	5	2 563.90	275.20	3 772.00	0.00	кирпичный	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Наружные водостоки	Центральное	Отсутствует	Пожарные гидранты	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный
#	Адрес	Дом признан аварийным
3772	ул. Дзарахохова, д. 11, Беслан	Нет
#	Адрес	Дом признан аварийным
3773	ул. К.Хетагурова, д. 235а, Алагир	Нет
#	Адрес	Дом признан аварийным
3774	д. 3, Карджин	Нет
#	Адрес	Дом признан аварийным
3775	д. 2, Карджин	Нет
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
3776	д. 11, Верхний Фиагдон	1967	Не имеется	Нет	48	A	4	5	5	2 019.10	802.60	3 772.00	кирпичный	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Наружные водостоки	Центральное	Отсутствует	Пожарные гидранты	Центральное	Центральное	Центральное	Каменные, кирпичные	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный
#	Адрес	Дом признан аварийным
3777	д. б/н, Фаснал	Нет
#	Адрес	Дом признан аварийным
3778	р-н. Алагирский, п. Мизур, д. 17, к. 17	Нет
#	Адрес	Дом признан аварийным
3779	д. 1, Фаснал	Нет
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество лифтов	Количество подъездов	Лифты	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Количество мусоропроводов, ед.	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фундамент
3780	д. 12, Мизур	1985	Есть	Нет	144	Не присвоен	4	4	пассажирские - 4, 	9	9	7 852.50	0.00	3 214.71	0.00	0.00	МКД	Не имеется	На специальном счете у регионального оператора	Многоквартирный дом	4	0.00	Вытяжная вентиляция	Центральное	Наружные водостоки	Отсутствует	Центральное (открытая система)	Пожарные гидранты	Центральное	Центральное	Центральное	4	Панельные	1 270.00	Скатная	На лестничной клетке	Железобетонные	Бетонные столбы
#	Адрес	Дом признан аварийным
3781	ул. Коммунальная, д. 3, Майское	Нет
#	Адрес	Дом признан аварийным
3782	ул. Первомайская, д. 28, Гизель	Нет
#	Адрес	Дом признан аварийным
3783	д. 5, Дачное	Нет
#	Адрес	Дом признан аварийным
3784	д. б/н, к. 8, Холст	Нет
#	Адрес	Дом признан аварийным
3785	д. б/н, к. 4, Холст	Нет
#	Адрес	Дом признан аварийным
3786	д. б/н, к. 11, Холст	Нет
#	Адрес	Дом признан аварийным
3787	д. б/н, к. 9, Холст	Нет
#	Адрес	Дом признан аварийным
3788	р-н. Алагирский, п. Мизур, д. 53	Нет
#	Адрес	Дом признан аварийным
3789	д. д/б, к. 13, Холст	Нет
#	Адрес	Дом признан аварийным
3790	р-н. Алагирский, п. Мизур, д. 52	Нет
#	Адрес	Дом признан аварийным
3791	ул. Гагарина, д. 20/1, Беслан	Нет
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Спортивная площадка	Газоснабжение	Несущие стены
3792	д. 16, Мизур	1988	Есть	Нет	2	9	2 653.16	Есть	Автономное	Панельные
#	Адрес	Дом признан аварийным
3793	р-н. Алагирский, п. Мизур, д. 56	Нет
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Несущие стены	Перекрытия
3794	д. 9, Верхний Фиагдон	1963	Нет	2	3	1 005.80	Каменные, кирпичные	Железобетонные
#	Адрес	Дом признан аварийным
3795	д. 4, Верхний Фиагдон	Нет
#	Адрес	Дом признан аварийным
3796	ул. Степная, д. 11, Притеречный	Нет
#	Адрес	Дом признан аварийным
3797	ул. Тедеева, д. 107в, лит. А, Октябрьское	Нет
#	Адрес	Дом признан аварийным
3798	ул. Тедеева, д. 107а, лит. А, Октябрьское	Нет
#	Адрес	Дом признан аварийным
3799	ул. Тедеева, д. 107г, лит. А, Октябрьское	Нет
#	Адрес	Дом признан аварийным
3800	ул. Тедеева, д. 109, лит. А, Октябрьское	Нет
#	Адрес	Дом признан аварийным
3801	ул. Маяковского, д. 80, лит. АА1А2, Октябрьское	Нет
#	Адрес	Дом признан аварийным
3802	ул. Тедеева, д. 127, лит. А, Октябрьское	Нет
#	Адрес	Дом признан аварийным
3803	ул. Гагарина, д. 16, лит. А, Михайловское	Нет
#	Адрес	Дом признан аварийным
3804	д. 10, Нузал	Нет
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество лифтов	Количество подъездов	Лифты	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Количество мусоропроводов, ед.	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фундамент
3805	д. 21, Мизур	1981	Есть	Нет	72	Не присвоен	2	2	пассажирские - 2, 	9	9	3 996.59	0.00	1 605.19	0.00	0.00	МКД	Не имеется	На специальном счете у регионального оператора	Многоквартирный дом	2	0.00	Вытяжная вентиляция	Центральное	Наружные водостоки	Отсутствует	Центральное (открытая система)	Пожарные гидранты	Центральное	Центральное	Центральное	2	Панельные	657.00	Скатная	На лестничной клетке	Железобетонные	Бетонные столбы
#	Адрес	Дом признан аварийным
3806	р-н. Алагирский, п. Мизур, д. 11	Нет
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество лифтов	Количество подъездов	Лифты	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Количество мусоропроводов, ед.	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фундамент
3807	д. 23, Мизур	1976	Не имеется	Нет	72	Не присвоен	2	2	пассажирские - 2, 	9	9	4 048.10	0.00	1 553.68	0.00	0.00	МКД	Не имеется	На специальном счете у регионального оператора	Многоквартирный дом	2	Вытяжная вентиляция	Центральное	Наружные водостоки	Отсутствует	Центральное (открытая система)	Пожарные гидранты	Центральное	Центральное	Центральное	2	Панельные	657.00	Скатная	На лестничной клетке	Железобетонные	Бетонные столбы
#	Адрес	Дом признан аварийным
3808	ул. Азаниева, д. 6, Моздок	Нет
#	Адрес	Дом признан аварийным
3809	пер. Чапаева, д. 2a/5, Беслан	Нет
#	Адрес	Дом признан аварийным
3810	п. Спутник, д. 26, Владикавказ	Нет
#	Адрес	Дом признан аварийным
3811	р-н. Алагирский, п. Мизур, д. 10, к.	Нет
#	Адрес	Дом признан аварийным
3812	р-н. Алагирский, п. Мизур, д. 13	Нет
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Несущие стены	Перекрытия
3813	д. 41, Мизур	1953	Нет	2	3	536.00	Многоквартирный дом	Каменные, кирпичные	Железобетонные
#	Адрес	Дом признан аварийным
3814	р-н. Алагирский, п. Мизур, д. 31	Нет
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
3815	д. 1, Верхний Фиагдон	1961	Не имеется	Нет	12	2	2	2	476.92	12.21	12.21	974.00	нет данных	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточно-вытяжная вентиляция	Центральное	Наружные водостоки	Отсутствует	Отсутствует	Пожарные гидранты	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Площадь жилых помещений м2	Тип дома	Несущие стены	Перекрытия
3816	д. 39, Мизур	1958	Нет	2	3	688.00	Многоквартирный дом	Каменные, кирпичные	Железобетонные
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
3817	д. 6, Верхний Фиагдон	1964	Не имеется	Нет	24	Не присвоен	2	3	3	1 005.96	52.80	1 705.00	0.00	кирпичное жаростойкое тип-11А	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Наружные водостоки	Отсутствует	Пожарные гидранты	Центральное	Центральное	Центральное	Каменные, кирпичные	0.00	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный
#	Адрес	Дом признан аварийным
3818	ул. Кв.Энергетиков, д. 6, Алагир	Нет
#	Адрес	Дом признан аварийным
3819	пер. Хлебный, д. 8, Беслан	Нет
#	Адрес	Дом признан аварийным
3820	ул. Маркова, д. 1, Беслан	Нет
#	Адрес	Дом признан аварийным
3821	ул. Тимирязева, д. 6, Притеречный	Нет
#	Адрес	Дом признан аварийным
3822	ул. Тимирязева, д. 12, Притеречный	Нет
#	Адрес	Дом признан аварийным
3823	ул. Тимирязева, д. 10, Притеречный	Нет
#	Адрес	Дом признан аварийным
3824	ул. Иристонская, д. 32, к. а, Владикавказ	Нет
#	Адрес	Дом признан аварийным
3825	ул. Кутузова, д. 77/2, Владикавказ	Нет
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Площадь жилых помещений м2	Газоснабжение
3826	ул. Недвижая, д. 10 а, Беслан	1987	Нет	2 793.00	Автономное
#	Адрес	Дом признан аварийным
3827	ул. Тимирязева, д. 2, Притеречный	Нет
#	Адрес	Дом признан аварийным
3828	ул. Тимирязева, д. 4, Притеречный	Нет
#	Адрес	Дом признан аварийным
3829	ул. Степная, д. 1, Притеречный	Нет
#	Адрес	Дом признан аварийным
3830	ул. Степная, д. 23, Притеречный	Нет
#	Адрес	Дом признан аварийным
3831	ул. Степная, д. 25, Притеречный	Нет
#	Адрес	Дом признан аварийным
3832	ул. Советская, д. 11, Притеречный	Нет
#	Адрес	Дом признан аварийным
3833	ул. Советская, д. 9, Притеречный	Нет
#	Адрес	Дом признан аварийным
3834	пер. Спортивный, д. 6, Притеречный	Нет
#	Адрес	Год ввода в эксплуатацию	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
3835	ул. Ленина, д. 72а, Беслан	1996	Нет	50	Не присвоен	4	5	5	3 084.20	0.00	283.20	0.00	0.00	кирпичный	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Наружные водостоки	Центральное	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный
#	Адрес	Дом признан аварийным
3836	ул. Маркова, д. 25, Беслан	Нет
#	Адрес	Дом признан аварийным
3837	ул. Кв.Энергетиков, д. 2, Алагир	Нет
#	Адрес	Дом признан аварийным
3838	ул. Кв.Энергетиков, д. 3, Алагир	Нет
#	Адрес	Дом признан аварийным
3839	ул. Кв.Энергетиков, д. 4, Алагир	Нет
#	Адрес	Дом признан аварийным
3840	ул. им Героя России Заура Джибилова, д. 6, Беслан	Нет
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Оборудование	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение
3841	ул. Иристонская, д. 5, Владикавказ	1960	Не имеется	Нет	не имеется	36	Не присвоен	3	3	3	1	1 130.60	573.00	93.00	0.00	0.00	жилое	Не имеется	На счете регионального оператора	Многоквартирный дом	не имеется	Каменные, кирпичные	592.00	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный	1	5.40	Приточно-вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Квартирное (квартирный котел)	Отсутствует	Центральное	Центральное	Центральное
#	Адрес	Дом признан аварийным
3842	снт. Редант, д. 60, Владикавказ	Нет
#	Адрес	Дом признан аварийным	Количество подъездов	Наибольшее количество этажей	Несущие стены	Перекрытия
3843	п. Спутник, д. 43, Владикавказ	Нет	3	5	Панельные	Железобетонные
#	Адрес	Дом признан аварийным
3844	ул. Защитников Осетии, д. 41, Владикавказ	Нет
#	Адрес	Дом признан аварийным
3845	ул. Защитников Осетии, д. 43, Владикавказ	Нет
#	Адрес	Дом признан аварийным
3846	ул. Мира, д. 18, к. а, Моздок	Нет
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество лифтов	Количество подъездов	Лифты	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
3847	ул. Победы, д. 65б, Беслан	2009	Не имеется	Нет	Земельный участок предназначен для трех многоквартирных домов	110	Не присвоен	2	6	пассажирские - 2, 	9	5	5 136.94	0.00	833.66	4 460.00	0.00	кирпичный	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Центральное	Наружные водостоки	Центральное	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный
#	Адрес	Дом признан аварийным
3848	ул. Суворова, д. 3, к. а, Беслан	Нет
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество подъездов	Наибольшее количество этажей	Наименьшее количество этажей	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
3849	ул. Суворова, д. 5, Беслан	1985	Не имеется	Нет	50	Не присвоен	4	5	5	2 689.00	0.00	220.00	кирпичный	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Приточная вентиляция	Наружные водостоки	Центральное	Центральное (закрытая система)	Отсутствует	Центральное	Центральное	Центральное	Каменные, кирпичные	Плоская	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный
#	Адрес	Дом признан аварийным
3850	ул. Привокзальная, д. 3, Беслан	Нет
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Дополнительная информация	Количество жилых помещений	Класс энергетической эффективности	Количество лифтов	Количество подъездов	Лифты	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Несущие стены	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
3851	пр-кт. Коста, д. 250, к. 252, Владикавказ	2010	Не имеется	Нет	Нет	48	Не присвоен	2	2	пассажирские - 2, 	12	12	4	4 160.10	Нет	Не имеется	На счете регионального оператора	Многоквартирный дом	1	0.00	Вытяжная вентиляция	Центральное	Наружные водостоки	Центральное	Квартирное (квартирный котел)	Пожарный кран	Квартирное отопление (квартирный котел)	Центральное	Центральное	Каменные, кирпичные	Скатная	Отсутствует	Железобетонные	Соответствует материалу стен	Ленточный
#	Адрес	Год ввода в эксплуатацию	Детская площадка	Дом признан аварийным	Количество жилых помещений	Класс энергетической эффективности	Количество лифтов	Количество подъездов	Лифты	Наибольшее количество этажей	Наименьшее количество этажей	Количество нежилых помещений	Площадь жилых помещений м2	Площадь нежилых помещений м2	Площадь помещений общего имущества м2	Площадь зем. участка общего имущества м2	Площадь парковки м2	Серия, тип постройки здания	Спортивная площадка	Формирование фонда кап. ремонта	Тип дома	Количество вводов в дом, ед.	Объем выгребных ям, куб. м.	Вентиляция	Водоотведение	Система водостоков	Газоснабжение	Горячее водоснабжение	Система пожаротушения	Теплоснабжение	Холодное водоснабжение	Электроснабжение	Количество мусоропроводов, ед.	Несущие стены	Площадь подвала, кв.м	Крыша	Мусоропровод	Перекрытия	Фасад	Фундамент
3852	ул. Генерала Плиева, д. 18, к. 24, Владикавказ	1972	Не имеется	Нет	8	B	4	4	пассажирские - 4, 	9	1	120	5 826.67	728.33	6 555.00	300.00	250.00	панельный	Не имеется	На счете регионального оператора	Многоквартирный дом	2	611.00	Вытяжная вентиляция	Центральное	Внутренние водостоки	Центральное	Центральное (открытая система)	Пожарный кран	Центральное	Центральное	Центральное	4	Панельные	756.00	Плоская	На лестничной клетке	Железобетонные	Оштукатуренный	Ленточный
#	Адрес	Дом признан аварийным
3853	ул. Доватора, д. 15, к. 1, Владикавказ	Нет
#	Адрес	Дом признан аварийным
3854	ул. Коммунаров, д. 1, Владикавказ	Нет
#	Адрес	Дом признан аварийным
3855	ул. Защитников Осетии, д. 86, Владикавказ	Нет
#	Адрес	Дом признан аварийным
3856	ул. Хетагурова, д. 9, Цалык	Нет
#	Адрес	Дом признан аварийным
3857	ул. Хетагурова, д. 12, Цалык	Нет
#	Адрес	Дом признан аварийным
3858	ул. Комсомольская, д. 3, Цалык	Нет
#	Адрес	Дом признан аварийным
3859	ул. Комсомольская, д. 2, Цалык	Нет
#	Адрес	Дом признан аварийным
3860	ул. Ленина, д. 2, Цалык	Нет
#	Адрес	Дом признан аварийным
3861	ул. Маркова, д. 22, Беслан	Нет
#	Адрес	Дом признан аварийным
3862	ул. Маркова, д. 24, Беслан	Нет
#	Адрес	Дом признан аварийным
3863	ул. Генерала Плиева, д. 4, Беслан	Нет
#	Адрес	Дом признан аварийным
3864	ул. Заводская, д. 12, Павлодольская	Нет
#	Адрес	Дом признан аварийным
3865	ул. Менделеева, д. 13, Владикавказ	Нет
#	Адрес	Дом признан аварийным
3866	ул. Волжская, д. 14, Владикавказ	Нет
#	Адрес	Дом признан аварийным
3867	ул. К.Хетагурова, д. 23а, Бурон	Нет
#	Адрес	Дом признан аварийным
3868	ул. Братьев Дзугаевых, д. 241/1, Ардон	Нет
#	Адрес	Дом признан аварийным
